Year,TWDBSurveyNo,PermitHolder,Latitude,Longitude,SourceType,UseType,SS_Pur,County,AquiferName,SurfaceWaterSource,SellerName,NAICS,Saline,Estimated,Volume,RelatedtoCOG
2008,441600,CITY OF JUNCTION,NA,NA,Surface,Municipal,Ss,KIMBLE,NA,JUNCTION LAKE/RESERVOIR,NA,NA,NA,NA,187323000,No
2000,899000,TOWN OF VAN HORN,NA,NA,Groundwater,Municipal,SS,CULBERSON,WEST TEXAS BOLSON AQUIFER,NA,NA,NA,NA,NA,187289396,No
1989,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,187142000,No
2000,524001,MADERA VALLEY WSC-REEVES COUNTY WELL FIELD,NA,NA,Groundwater,Municipal,SS,REEVES,PECOS AQUIFER,NA,NA,NA,NA,NA,187120600,No
1988,624400,CITY OF OLTON,NA,NA,Groundwater,Municipal,SS,LAMB,OGALLALA AQUIFER,NA,NA,NA,NA,NA,186774000,No
1992,835550,CITY OF SWEETWATER,NA,NA,Surface,Municipal,Ss,NOLAN,NA,SWEETWATER LAKE/RESERVOIR,NA,NA,NA,NA,186649400,No
1989,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,221310,No,No,186328800,No
1986,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,186285000,No
2008,912700,WAGON WHEEL MOBILE VILLAGE,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,186141500,No
1991,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,186098800,No
2012,35865,AZTECA MILLING LP-PLAINVIEW PLANT,NA,NA,Groundwater,Industrial,SS,HALE,OGALLALA AQUIFER,NA,NA,311211,No,No,186097500,No
1983,348200,GULF OIL EXPL PRODUCT COMPANY,NA,NA,Groundwater,Industrial,SS,CRANE,PECOS AQUIFER,NA,NA,211111,No,No,185880006,Yes
1984,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,185551400,No
2017,891400,CITY OF UVALDE,NA,NA,Groundwater,Municipal,SS,UVALDE,OTHER AQUIFER,NA,NA,NA,NA,NA,185550000,No
1989,295290,FORT CLARK SPRING MUD,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,185436000,No
1991,791955,MAGELLAN PIPELINE COMPANY LP,NA,NA,Reuse,Industrial,Ss,ECTOR,NA,UNKNOWN,NA,324110,NA,No,185306000,No
1989,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,185162500,No
2016,270758,LONE STAR BEEF PROCESSORS LP,NA,NA,Groundwater,Industrial,SS,TOM GREEN,LIPAN AQUIFER,NA,NA,311611,No,No,184962300,No
2001,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,184954000,No
1994,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,221310,No,No,184695863,No
1995,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,221310,No,No,184695863,No
1996,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,221310,No,No,184695863,No
1997,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,221310,No,No,184695863,No
1998,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,221310,No,No,184695863,No
1999,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,221310,No,No,184695863,No
2009,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,221310,No,Yes,184692347,No
2010,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,237120,No,Yes,184692347,No
2011,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,237120,No,Yes,184692347,No
2012,658300,CAPITAN ENTERPRISES INC,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,237120,No,Yes,184692347,No
2009,295290,FORT CLARK SPRING MUD,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,184635000,No
1990,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,184392000,No
2018,35865,AZTECA MILLING LP-PLAINVIEW PLANT,NA,NA,Groundwater,Industrial,SS,HALE,OGALLALA AQUIFER,NA,NA,311211,No,No,184199600,No
1996,99200,CITY OF BROWNFIELD,NA,NA,Groundwater,Municipal,SS,TERRY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,184108100,No
2012,72800,CITY OF BIG LAKE,NA,NA,Groundwater,Municipal,Pur,REAGAN,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,REAGAN COUNTY WSD,NA,NA,NA,184100348,No
1988,835550,CITY OF SWEETWATER,NA,NA,Surface,Municipal,Ss,NOLAN,NA,SWEETWATER LAKE/RESERVOIR,NA,NA,NA,NA,183936372,No
1991,835550,CITY OF SWEETWATER,NA,NA,Surface,Municipal,Ss,NOLAN,NA,SWEETWATER LAKE/RESERVOIR,NA,NA,NA,NA,183936300,No
1989,835550,CITY OF SWEETWATER,NA,NA,Surface,Municipal,Ss,NOLAN,NA,SWEETWATER LAKE/RESERVOIR,NA,NA,NA,NA,183929500,No
1990,835550,CITY OF SWEETWATER,NA,NA,Surface,Municipal,Ss,NOLAN,NA,SWEETWATER LAKE/RESERVOIR,NA,NA,NA,NA,183883900,No
1997,72800,CITY OF BIG LAKE,NA,NA,Groundwater,Municipal,Pur,REAGAN,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,UNKNOWN,NA,NA,NA,183722347,No
1990,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,183320000,No
2008,35865,AZTECA MILLING LP-PLAINVIEW PLANT,NA,NA,Groundwater,Industrial,SS,HALE,OGALLALA AQUIFER,NA,NA,311119,No,No,183303000,No
1993,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,183128000,No
1981,899000,TOWN OF VAN HORN,NA,NA,Groundwater,Municipal,SS,CULBERSON,WEST TEXAS BOLSON AQUIFER,NA,NA,NA,NA,NA,182985590,No
2009,35865,AZTECA MILLING LP-PLAINVIEW PLANT,NA,NA,Groundwater,Industrial,SS,HALE,OGALLALA AQUIFER,NA,NA,311119,No,No,182821700,No
2013,13800,CITY OF ALPINE,NA,NA,Groundwater,Municipal,SS,BREWSTER,IGNEOUS AQUIFER,NA,NA,NA,NA,NA,182705000,No
2007,692600,CITY OF POST,NA,NA,Surface,Municipal,Pur,GARZA,NA,WHITE RIVER LAKE/RESERVOIR,WHITE RIVER MWD,NA,NA,NA,182673000,No
2000,255800,CITY OF ELDORADO,NA,NA,Groundwater,Municipal,SS,SCHLEICHER,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,182596200,No
1995,6600,CITY OF ABERNATHY,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,182366000,No
1998,295290,FORT CLARK SPRING MUD,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,182229000,No
1997,483600,CITY OF LAMESA,NA,NA,Groundwater,Municipal,SS,DAWSON,OGALLALA AQUIFER,NA,NA,NA,NA,NA,182120000,No
1985,935250,EAGLE SUPPY MANFACTURIN; LP-SAN ANGELO POWER STATION,NA,NA,Surface,Industrial,Pur,TOM GREEN,NA,NASWORTHY LAKE/RESERVOIR,CITY OF SAN ANGELO,221112,No,No,181694513,No
2004,851650,TEXAS UTILITIES ELECTRIC COMPANY-MORGAN CREEK PLANT,NA,NA,Surface,Industrial,Ss,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,NA,221112,No,No,181633122,No
1990,306354,BIRDS EYE FOODS,NA,NA,Groundwater,Industrial,SS,UVALDE,EDWARDS-BFZ AQUIFER,NA,NA,311612,No,No,181500000,No
1982,186600,ALON USA,NA,NA,Surface,Industrial,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,COLORADO RIVER MWD-J B THOMAS RESERVOIR 14010,324110,No,No,181093640,No
2001,889650,U S  AIR FORCE-GOODFELLOW AFB17 CES/CEV,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,NASWORTHY LAKE/RESERVOIR,CITY OF SAN ANGELO,NA,NA,NA,180967000,No
2005,889650,U S  AIR FORCE-GOODFELLOW AFB17 CES/CEV,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,NASWORTHY LAKE/RESERVOIR,CITY OF SAN ANGELO,NA,NA,NA,180967000,No
2007,35865,AZTECA MILLING LP-PLAINVIEW PLANT,NA,NA,Groundwater,Industrial,SS,HALE,OGALLALA AQUIFER,NA,NA,311119,No,No,180757400,No
2011,35865,AZTECA MILLING LP-PLAINVIEW PLANT,NA,NA,Groundwater,Industrial,SS,HALE,OGALLALA AQUIFER,NA,NA,311211,No,No,180692400,No
2012,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,180636000,No
2015,186600,ALON USA,NA,NA,Surface,Industrial,Pur,HOWARD,NA,E V SPENCE LAKE/RESERVOIR,CITY OF BIG SPRING,324110,No,No,180618000,No
1986,73950,CITY OF BIG SPRING-GENERAL DISTRIBUTION SYSTEM,NA,NA,Surface,Municipal,Pur,HOWARD,NA,MOSS CREEK LAKE/RESERVOIR,MOSS LAKE,NA,NA,NA,180358900,No
1987,624400,CITY OF OLTON,NA,NA,Groundwater,Municipal,SS,LAMB,OGALLALA AQUIFER,NA,NA,NA,NA,NA,180156000,No
1992,321600,AMERIPOL SYNPOL CORPORATION,NA,NA,Surface,Industrial,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,CITY OF ODESSA,325212,No,No,180116300,No
1995,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,179850000,No
1999,6600,CITY OF ABERNATHY,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,179800000,No
2006,524001,MADERA VALLEY WSC-REEVES COUNTY WELL FIELD,NA,NA,Groundwater,Municipal,SS,REEVES,PECOS AQUIFER,NA,NA,NA,NA,NA,179664900,No
2011,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,179594000,No
2012,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,179594000,No
1996,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,179534300,No
2001,535770,BASIC ENERGY SERVICES LP,NA,NA,Groundwater,Industrial,SS,MIDLAND,OGALLALA AQUIFER,NA,NA,213112,No,No,179383050,Yes
2013,871350,CAPITOL AGGREGATES LTD-HOBAN PLANT,NA,NA,Groundwater,Industrial,SS,REEVES,PECOS AQUIFER,NA,NA,423320,No,No,179244002,No
1989,791955,MAGELLAN PIPELINE COMPANY LP,NA,NA,Reuse,Industrial,Ss,ECTOR,NA,UNKNOWN,NA,324110,NA,No,179112000,No
1980,936850,WEST TEXAS UTILITIES COMPANY-OAK CREEK STATION,NA,NA,Surface,Industrial,Pur,COKE,NA,OAK CREEK LAKE/RESERVOIR,CITY OF SWEETWATER,221112,No,No,178947500,No
2011,186600,ALON USA,NA,NA,Surface,Industrial,Pur,HOWARD,NA,E V SPENCE LAKE/RESERVOIR,CITY OF BIG SPRING,324110,No,No,178905115,No
1994,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,178446400,No
2008,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,178318000,No
2009,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,178318000,No
1991,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,178307000,No
2000,247800,CITY OF EARTH,NA,NA,Groundwater,Municipal,SS,LAMB,OGALLALA AQUIFER,NA,NA,NA,NA,NA,177835300,No
1995,99200,CITY OF BROWNFIELD,NA,NA,Groundwater,Municipal,SS,TERRY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,177749700,No
1991,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,177660000,No
1994,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,177427110,No
2002,6600,CITY OF ABERNATHY,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,177400000,No
1992,619550,CITY OF ODESSA,NA,NA,Groundwater,Municipal,Pur,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,ODESSA WELL FIELD ECTOR COUNTY FIELD,NA,NA,NA,177371000,No
2011,889650,U S  AIR FORCE-GOODFELLOW AFB 17 CES/CEV,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,NASWORTHY LAKE/RESERVOIR,CITY OF SAN ANGELO,NA,NA,NA,177312000,No
2010,503600,CITY OF LITTLEFIELD,NA,NA,Reuse,Municipal,Ss,LAMB,NA,UNKNOWN,NA,NA,NA,NA,177301000,No
2013,633401,COOPER NATURAL RESOURCES-OZARK DIVISION CEDAR LAKE FACILITY,NA,NA,Groundwater,Industrial,SS,GAINES,OGALLALA AQUIFER,NA,NA,325180,No,No,177141410,No
1996,483600,CITY OF LAMESA,NA,NA,Groundwater,Municipal,SS,DAWSON,OGALLALA AQUIFER,NA,NA,NA,NA,NA,177081100,No
2018,270758,LONE STAR BEEF PROCESSORS LP,NA,NA,Groundwater,Industrial,SS,TOM GREEN,LIPAN AQUIFER,NA,NA,311611,No,No,177059900,No
1997,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,177043400,No
2003,435200,CITY OF JAYTON,NA,NA,Groundwater,Municipal,SS,KENT,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,177023720,No
1988,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,176948000,No
2016,35865,AZTECA MILLING LP-PLAINVIEW PLANT,NA,NA,Groundwater,Industrial,SS,HALE,OGALLALA AQUIFER,NA,NA,311211,No,No,176785900,No
1983,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,176775000,No
2003,186600,ALON USA,NA,NA,Surface,Industrial,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,COLORADO RIVER MWD-E V SPENCE RESERVOIR,324110,No,No,176741000,No
1988,321600,AMERIPOL SYNPOL CORPORATION,NA,NA,Surface,Industrial,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,CITY OF ODESSA,325212,No,No,176628098,No
1986,321600,AMERIPOL SYNPOL CORPORATION,NA,NA,Surface,Industrial,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,CITY OF ODESSA,325212,No,No,176613000,No
1998,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,176575000,No
2017,35865,AZTECA MILLING LP-PLAINVIEW PLANT,NA,NA,Groundwater,Industrial,SS,HALE,OGALLALA AQUIFER,NA,NA,311211,No,No,176178100,No
2015,684600,CITY OF PLAINVIEW,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,176175700,No
1989,759600,CITY OF SABINAL,NA,NA,Groundwater,Municipal,SS,UVALDE,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,176174000,No
2018,441600,CITY OF JUNCTION,NA,NA,Surface,Municipal,Ss,KIMBLE,NA,JUNCTION LAKE/RESERVOIR,NA,NA,NA,NA,175985000,No
2015,73950,CITY OF BIG SPRING,NA,NA,Reuse,Municipal,Pur,HOWARD,NA,UNKNOWN,SOUTH WELL FIELD,NA,NA,NA,175978473,No
1999,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,175960000,No
1986,871350,CAPITOL AGGREGATES LTD-TPM HOBAN PLANT,NA,NA,Groundwater,Industrial,SS,REEVES,PECOS AQUIFER,NA,NA,212324,No,No,175959000,No
1996,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,175794000,No
1981,871350,CAPITOL AGGREGATES LTD-TPM HOBAN PLANT,NA,NA,Groundwater,Industrial,SS,REEVES,PECOS AQUIFER,NA,NA,212324,No,No,175680000,No
2012,6600,CITY OF ABERNATHY,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,175293000,No
1983,76200,BITTER CREEK WSC,NA,NA,Surface,Municipal,Pur,COKE,NA,OAK CREEK LAKE/RESERVOIR,CITY OF SWEETWATER,NA,NA,NA,175166000,No
2004,695625,POWER RESOURCES LTD,NA,NA,Surface,Industrial,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,COLORADO RIVER MWD-E V SPENCE RESERVOIR,221112,No,No,175114000,No
1994,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Groundwater,Municipal,Pur,MARTIN,OGALLALA AQUIFER,NA,MARTIN COUNTY FIELD,NA,NA,NA,174996858,No
1995,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,174995000,No
1988,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,174958200,No
1987,791955,MAGELLAN PIPELINE COMPANY LP,NA,NA,Reuse,Industrial,Ss,ECTOR,NA,UNKNOWN,NA,324110,NA,No,174795000,No
1993,809105,SOUTHWEST AGGREGATES-UVALDE CONCRETE PLANT,NA,NA,Groundwater,Industrial,SS,UVALDE,EDWARDS-BFZ AQUIFER,NA,NA,212321,No,No,174720000,No
1989,547000,CITY OF MCCAMEY,NA,NA,Groundwater,Municipal,SS,PECOS,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,174717000,No
2012,518002,CITY OF LUBBOCK-TY COOKE GENERATION STATION,NA,NA,Groundwater,Industrial,Pur,BAILEY,OGALLALA AQUIFER,NA,CITY OF LUBBOCK-WATER TREATMENT PLANT,221112,No,No,174679000,No
2014,13800,CITY OF ALPINE,NA,NA,Groundwater,Municipal,SS,BREWSTER,IGNEOUS AQUIFER,NA,NA,NA,NA,NA,174593000,No
1980,255800,CITY OF ELDORADO,NA,NA,Groundwater,Municipal,SS,SCHLEICHER,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,174095800,No
1997,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,173958000,No
1992,547000,CITY OF MCCAMEY,NA,NA,Groundwater,Municipal,Pur,UPTON,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,UPTON COUNTY WATER DEPARTMENT,NA,NA,NA,173943000,No
2014,889180,U S  AIR FORCE-LAUGHLIN AFB 47TH CES/CEV,NA,NA,Groundwater,Municipal,Pur,VAL VERDE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,CITY OF DEL RIO,NA,NA,NA,173904000,No
1999,255800,CITY OF ELDORADO,NA,NA,Groundwater,Municipal,SS,SCHLEICHER,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,173892400,No
1989,321600,AMERIPOL SYNPOL CORPORATION,NA,NA,Surface,Industrial,Pur,SCURRY,NA,J B THOMAS LAKE/RESERVOIR,CITY OF ODESSA,325212,No,No,173800000,No
2001,935250,EAGLE SUPPY MANFACTURIN; LP-SAN ANGELO POWER STATION,NA,NA,Surface,Industrial,Pur,TOM GREEN,NA,NASWORTHY LAKE/RESERVOIR,CITY OF SAN ANGELO,221112,No,No,173483074,No
1996,492400,CITY OF LEVELLAND,NA,NA,Groundwater,Municipal,SS,HOCKLEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,173465000,No
2001,764157,CITY OF SAN ANGELO,NA,NA,Surface,Municipal,Ss,TOM GREEN,NA,NASWORTHY LAKE/RESERVOIR,NA,NA,NA,NA,173430837,No
2000,639550,GRAYDEN INDUSTRIES INC,NA,NA,Surface,Industrial,Ss,KIMBLE,NA,COLORADO RUN OF RIVER,NA,325180,No,No,173352732,No
2017,441600,CITY OF JUNCTION,NA,NA,Surface,Municipal,Ss,KIMBLE,NA,JUNCTION LAKE/RESERVOIR,NA,NA,NA,NA,173327000,No
2008,295290,FORT CLARK SPRING MUD,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,173292000,No
1997,624400,CITY OF OLTON,NA,NA,Groundwater,Municipal,SS,LAMB,OGALLALA AQUIFER,NA,NA,NA,NA,NA,173122000,No
1993,186600,ALON USA,NA,NA,Reuse,Industrial,Pur,COKE,NA,UNKNOWN,COLORADO RIVER MWD-E V SPENCE RESERVOIR 14040,324110,NA,No,173055700,No
2004,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,173030000,No
2010,72800,CITY OF BIG LAKE,NA,NA,Groundwater,Municipal,Pur,REAGAN,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,REAGAN COUNTY WSD,NA,NA,NA,173012993,No
1999,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,172718000,No
1998,835550,CITY OF SWEETWATER,NA,NA,Surface,Municipal,Ss,NOLAN,NA,TRAMMELL LAKE/RESERVOIR,NA,NA,NA,NA,172212252,No
2006,186600,ALON USA,NA,NA,Surface,Industrial,Pur,HOWARD,NA,E V SPENCE LAKE/RESERVOIR,CITY OF BIG SPRING-GENERAL DISTRIBUTION SYSTEM,324110,No,No,172207080,No
2017,73950,CITY OF BIG SPRING,NA,NA,Reuse,Municipal,Pur,HOWARD,NA,UNKNOWN,SOUTH WELL FIELD,NA,NA,NA,172152925,No
1986,936850,WEST TEXAS UTILITIES COMPANY-OAK CREEK STATION,NA,NA,Surface,Industrial,Pur,COKE,NA,OAK CREEK LAKE/RESERVOIR,CITY OF SWEETWATER,221112,No,No,172107987,No
1990,792200,SHELL WESTERN E & P INC-WASSON PLANT,NA,NA,Groundwater,Industrial,SS,GAINES,OGALLALA AQUIFER,NA,NA,211112,No,No,172000500,Maybe
2009,524001,MADERA VALLEY WSC-REEVES COUNTY WELL FIELD,NA,NA,Groundwater,Municipal,SS,REEVES,PECOS AQUIFER,NA,NA,NA,NA,NA,171455900,No
1990,791955,MAGELLAN PIPELINE COMPANY LP,NA,NA,Reuse,Industrial,Ss,ECTOR,NA,UNKNOWN,NA,324110,NA,No,171407000,No
1996,624400,CITY OF OLTON,NA,NA,Groundwater,Municipal,SS,LAMB,OGALLALA AQUIFER,NA,NA,NA,NA,NA,171216000,No
2007,899000,TOWN OF VAN HORN,NA,NA,Groundwater,Municipal,SS,CULBERSON,WEST TEXAS BOLSON AQUIFER,NA,NA,NA,NA,NA,171010747,No
1987,781000,CITY OF SEAGRAVES,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,170956000,No
1988,423000,CITY OF IRAAN,NA,NA,Groundwater,Municipal,SS,PECOS,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,170851500,No
2013,295290,FORT CLARK SPRING MUD,29.3104477,-100.4219284,Groundwater,Municipal,SS,KINNEY,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,No,No,170850000,No
1985,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,170815900,No
1980,639000,CITY OF PADUCAH,NA,NA,Groundwater,Municipal,SS,COTTLE,OTHER AQUIFER,NA,NA,NA,NA,NA,170758000,No
2016,492400,CITY OF LEVELLAND,33.583271,-102.3638687,Groundwater,Municipal,SS,HOCKLEY,OGALLALA AQUIFER,NA,NA,NA,No,No,170661000,No
1980,682550,GPM GAS CORPORATION-GOLDSMITH WEST PLANT GPOD,NA,NA,Groundwater,Industrial,Pur,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,PETROLEUM CORPORATION  OF TEXAS-CADDO PLANT,211112,No,No,170567000,Maybe
1992,93450,CITY OF BRACKETTVILLE,NA,NA,Groundwater,Municipal,SS,KINNEY,EDWARDS-BFZ AQUIFER,NA,NA,NA,NA,NA,170552000,No
1986,579800,CITY OF MORTON,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,170523400,No
1990,6600,CITY OF ABERNATHY,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,170410000,No
2014,441600,CITY OF JUNCTION,NA,NA,Surface,Municipal,Ss,KIMBLE,NA,JUNCTION LAKE/RESERVOIR,NA,NA,NA,NA,170393000,No
2013,441600,CITY OF JUNCTION,NA,NA,Surface,Municipal,Ss,KIMBLE,NA,JUNCTION LAKE/RESERVOIR,NA,NA,NA,NA,170368000,No
